No,カテゴリ,ペルソナ/ターゲット,ユースケース,プロンプトテンプレート,プロンプトサンプル①,プロンプトサンプル②,プロンプトサンプル③,プロンプトサンプル④,プロンプトサンプル⑤,備考,@dropdown,,@dropdown,,@dropdown,,
11,商品画像作成,P: EC商品担当者T: ECプラットフォーム,製品ライフスタイルショット,# 指示書: 売れるライフスタイル画像生成【役割】コマーシャルフォトグラファー【目的】[製品]の使用シーンを魅力的に演出し購買意欲を刺激【撮影指示】・シーン: [シーン]、[照明]を使用・構図: [角度]からのショット、背景は[背景]・品質: ブランドの一貫性を保持【出力設定】・解像度: [指定]・スタイル: インスタ映え、リアリスティック,# 指示書: ワイヤレスイヤホン【役割】スポーツ用品フォトグラファー【目的】アクティブな使用感を訴求【撮影指示】・シーン: ジムでのトレーニング・照明: 自然光（窓際）・構図: 正面、都会的な背景【出力】・解像度: 4K・雰囲気: 汗と爽快感,# 指示書: 高級スキンケアセット【役割】美容専属カメラマン【目的】リラックスと高級感を演出【撮影指示】・シーン: 高級スパ・照明: 柔らかいソフトライト・構図: 斜め45度、癒しの背景【出力】・解像度: 300dpi・雰囲気: 静寂と清潔感,# 指示書: 最新ラップトップ【役割】ガジェットレビュアー【目的】仕事ができる空間を演出【撮影指示】・シーン: モダンなオフィス・照明: デスクライト・構図: 真上（俯瞰）、整理された机【出力】・解像度: 4K・雰囲気: 知的生産性,# 指示書: ストリートスニーカー【役割】ファッションフォトグラファー【目的】クールなストリート感を演出【撮影指示】・シーン: 路地裏のストリート・照明: 街灯やネオン・構図: 真横（サイド）、グラフィティ壁【出力】・解像度: 300dpi・雰囲気: エッジの効いた,# 指示書: コーヒーメーカー【役割】ライフスタイル誌カメラマン【目的】朝の豊かな時間を演出【撮影指示】・シーン: 明るいキッチン・照明: 朝の暖かな光・構図: 斜め上、木目のカウンター【出力】・解像度: 4K・雰囲気: 香り立つような,Amazon売上2倍事例。,,,,,,,
12,商品画像作成,P: 製品デザイナーT: 製造業,白抜き画像編集,# 指示書: EC用白抜き・合成画像編集【役割】レタッチ職人【目的】[製品画像]をECサイト用に最適化・合成【編集指示】・処理: [編集指示]に基づき背景を完全除去または合成・スタイル: [スタイル]で質感を調整・合成要素: [テキスト/ロゴ]を違和感なく[シームレス融合]【出力設定】・解像度: [指定]・形式: 背景透過PNGまたは純白背景JPG,# 指示書: ボトル合成イメージ【役割】パッケージレタッチャー【目的】自然な商品イメージ作成【編集指示】・処理: ライフスタイル背景合成・スタイル: 超リアル・合成: 「Natural Essence」文字【出力】・解像度: 4K,# 指示書: 高級時計カタログ用【役割】宝飾品レタッチャー【目的】金属の光沢を強調【編集指示】・処理: エレガントな反射追加・スタイル: ラグジュアリー・合成: ブランドロゴ刻印【出力】・解像度: 300dpi,# 指示書: バッグ商品ページ用【役割】アパレル画像編集者【目的】使用シーンを想像させる【編集指示】・処理: ストリート背景合成・スタイル: カジュアル・合成: 価格タグ【出力】・解像度: 4K,# 指示書: 家具インテリア合成【役割】インテリアシミュレーター【目的】部屋への配置イメージ【編集指示】・処理: モダンな部屋に配置・スタイル: 北欧モダン・合成: 素材説明ラベル【出力】・解像度: 300dpi,# 指示書: 電動工具スペック画像【役割】カタログ編集者【目的】プロ仕様の頑丈さを表現【編集指示】・処理: 工房背景合成・スタイル: プロ仕様・合成: スペック数値【出力】・解像度: 4K,撮影コスト削減。,,,,,,,
13,商品画像作成,P: ブランドプランナーT: 消費財ブランド,商品モックアップ,# 指示書: リアルな商品パッケージモックアップ【役割】3Dパッケージデザイナー【目的】[パッケージ]のデザイン検証用ビジュアル作成【モックアップ仕様】・環境: [環境]に配置し、スケール感は[スケール]・ラベル: 「[ラベルテキスト]」を歪みなく正確にマッピング・ライティング: 素材感を際立たせるリアル照明【出力設定】・解像度: [指定]・品質: フォトリアル3Dレンダリング,# 指示書: シャンプーボトル【役割】バスアメニティデザイナー【目的】浴室での見え方を確認【仕様】・環境: 湿気のあるバスルーム・スケール: 実物大・ラベル: 「Organic Care」【出力】・解像度: 4K・質感: 水滴付きプラスチック,# 指示書: 食品パッケージ【役割】食品パッケージ担当【目的】キッチンでの存在感確認【仕様】・環境: 明るいキッチン・スケール: 中サイズ・ラベル: 「Fresh Taste」【出力】・解像度: 300dpi・質感: マットな紙箱,# 指示書: コスメ瓶【役割】化粧品企画【目的】ドレッサーでの高級感確認【仕様】・環境: 化粧台（ドレッサー）・スケール: 小瓶・ラベル: 「Glow Formula」【出力】・解像度: 4K・質感: 光沢ガラス,# 指示書: エナジードリンク【役割】飲料マーケター【目的】アウトドアでの映え確認【仕様】・環境: ピクニックシート・スケール: 缶サイズ・ラベル: 「Energy Boost」【出力】・解像度: 300dpi・質感: 冷えた金属缶,# 指示書: 書籍装丁【役割】ブックデザイナー【目的】書斎での知的な雰囲気確認【仕様】・環境: 落ち着いた書斎・スケール: 四六判・ラベル: 「Wisdom Series」【出力】・解像度: 4K・質感: 紙の質感,プロトタイプ高速化。,,,,,,,
14,商品画像作成,P: 輸出担当者T: 輸出企業,国際商品画像ローカライズ,# 指示書: 文化に最適化した商品画像ローカライズ【役割】クロスカルチャー・マーケティング専門家【目的】[製品]を[言語/文化]圏の顧客に響くよう現地化【ローカライズ仕様】・テキスト: 「[テキスト翻訳]」を現地の書体で挿入・文化要素: [文化要素]を背景や装飾に融合・一貫性: ブランドの核となるアイデンティティは保持【出力設定】・解像度: [指定]・スタイル: 現地市場に馴染む自然な合成,# 指示書: ワイン (日本向け)【役割】日本市場担当マネージャー【目的】和食に合う高級感を演出【仕様】・言語: 日本語「純米大吟醸」・文化: 桜の花びら、和紙・一貫性: ボトル形状保持【出力】・解像度: 4K・雰囲気: 雅（みやび）,# 指示書: ファッション (スペイン向け)【役割】南欧市場担当【目的】情熱的なスタイルを訴求【仕様】・言語: 西語「Estilo Vibrante」・文化: フラメンコの赤、タイル・一貫性: 服のデザイン保持【出力】・解像度: 300dpi・雰囲気: パッション,# 指示書: 電子機器 (中国向け)【役割】中華圏マーケター【目的】縁起の良さと先進性を融合【仕様】・言語: 中国語「智能生活」・文化: 龍のモチーフ、赤と金・一貫性: デバイス保持【出力】・解像度: 4K・雰囲気: 吉祥とテクノロジー,# 指示書: 食品 (フランス向け)【役割】欧州市場担当【目的】本場の味わいを表現【仕様】・言語: 仏語「Saveur Authentique」・文化: ワイングラス、バゲット・一貫性: パッケージ保持【出力】・解像度: 300dpi・雰囲気: シック,# 指示書: 玩具 (中東向け)【役割】中東市場担当【目的】現地の家族観に訴求【仕様】・言語: アラビア語「لعب ممتع」・文化: ランプ、幾何学模様・一貫性: おもちゃ保持【出力】・解像度: 4K・雰囲気: 暖かな団欒,グローバル売上増。,,,,,,,
15,商品画像作成,P: 小売店長T: 小売チェーン,店頭POP画像,# 指示書: 購買率を上げる店頭POPデザイン【役割】セールスプロモーション・デザイナー【目的】[プロモ]の内容を一瞬で伝え、足を止めさせる【デザイン仕様】・デザイン: [デザイン]な雰囲気、サイズは[サイズ]・キャッチコピー: 「[キャッチコピー]」を[フォント]・[色]で最大強調・機能: スマホ誘導用のQRコードスペースを確保【出力設定】・解像度: [指定]・スタイル: 視認性最強、印刷対応CMYK,# 指示書: 半額セールPOP【役割】量販店販促担当【目的】お得感を爆発させる【仕様】・デザイン: ポップで賑やか・サイズ: A4・コピー: 「50%OFF」(源ノ角/赤)・機能: QRコード右下【出力】・解像度: 300dpi,# 指示書: 新商品発売POP【役割】百貨店フロアマネージャー【目的】限定感と高級感を演出【仕様】・デザイン: エレガント・サイズ: A3・コピー: 「限定発売」(メイリオ/金)・機能: QRコード中央下【出力】・解像度: 4K,# 指示書: ハロウィン特集POP【役割】季節イベント担当【目的】イベントムードを盛り上げ【仕様】・デザイン: フェスティバル・サイズ: ポスター判・コピー: 「ハロウィン特集」(ヒラギノ/橙)・機能: QRコード左下【出力】・解像度: 300dpi,# 指示書: お得セットPOP【役割】ドラッグストア店長【目的】まとめ買いを推奨【仕様】・デザイン: バリュー（お得）・サイズ: A5・コピー: 「お得セット」(游ゴシック/緑)・機能: QRコード右隅【出力】・解像度: 4K,# 指示書: 在庫一掃POP【役割】アウトレット店長【目的】緊急性を煽る【仕様】・デザイン: クリアランス（一掃）・サイズ: 横長バナー・コピー: 「最終処分」(筑紫/青)・機能: QRコード中央【出力】・解像度: 300dpi,店頭売上3倍。,,,,,,,
16,デザイン/ブランディング,P: グラフィックデザイナーT: スタートアップ,ロゴデザイン,# 指示書: ブランドの核となるロゴ生成【役割】CI/VI専門のトップロゴデザイナー【目的】[ブランド名]のアイデンティティを象徴するロゴ作成【デザイン仕様】・スタイル: [スタイル]、配色は[色]を使用・シンボル: [シンボル]の概念を幾何学的・抽象的に統合・表現: 拡大縮小に耐えるベクターアート風【出力設定】・解像度: [指定]・背景: 白または透過、視認性重視,# 指示書: TechNova【役割】テック系CIデザイナー【目的】先進性と知性を表現【仕様】・スタイル: ミニマル・色: 青とシルバー・シンボル: 電子回路とNの融合【出力】・解像度: 4K・表現: フラットデザイン,# 指示書: GreenLife【役割】エシカルブランドデザイナー【目的】自然との共生を表現【仕様】・スタイル: オーガニック・色: 深緑と白・シンボル: 葉脈と水滴【出力】・解像度: 300dpi・表現: 手書き風タッチ,# 指示書: SwiftMove【役割】物流系デザイナー【目的】スピードと正確性を表現【仕様】・スタイル: ダイナミック・色: 赤と黒・シンボル: 加速する矢印【出力】・解像度: 4K・表現: スピードライン,# 指示書: PureEssence【役割】美容系デザイナー【目的】純粋さと美を表現【仕様】・スタイル: エレガント・色: パステルピンク・シンボル: 雫と花弁【出力】・解像度: 300dpi・表現: 細いラインアート,# 指示書: InnoSpark【役割】コンサルCIデザイナー【目的】閃きと革新を表現【仕様】・スタイル: イノベーティブ・色: 紫とゴールド・シンボル: 電球と星の輝き【出力】・解像度: 4K・表現: 3Dアイコン風,ブランドアイデンティティ強化。,,,,,,,
17,デザイン/ブランディング,P: UI/UXデザイナーT: テック企業,UIモックアップ,# 指示書: ユーザー体験を可視化するUIデザイン【役割】Google Material Designエキスパート【目的】[画面]の直感的で美しいUI案を作成【UI仕様】・テーマ: [テーマ]、デザインシステムに基づく統一感・構成要素: [ナビ/ボタン]を[要素]として配置・特性: レスポンシブ対応を意識したレイアウト【出力設定】・解像度: [指定]・品質: Dribbble/Behance掲載レベル,# 指示書: ダッシュボード【役割】SaaSプロダクトデザイナー【目的】データ一覧性の確保【仕様】・テーマ: モダン/ダークモード・要素: サイドナビ/フラットボタン・特性: グリッドレイアウト【出力】・解像度: 4K,# 指示書: ログイン画面【役割】アプリデザイナー【目的】スムーズな認証体験【仕様】・テーマ: クリーン/ライトモード・要素: 中央フォーム/角丸ボタン・特性: 余白の活用【出力】・解像度: 300dpi,# 指示書: プロフィール【役割】SNS UIデザイナー【目的】個性の表現【仕様】・テーマ: パーソナル/アクセントカラー・要素: 円形アバター/アイコンボタン・特性: カード型レイアウト【出力】・解像度: 4K,# 指示書: 検索画面【役割】ECサイトデザイナー【目的】検索性の向上【仕様】・テーマ: サーチフォーカス/グレー・要素: 大型検索バー/フィルターボタン・特性: リスト表示【出力】・解像度: 300dpi,# 指示書: 決済画面【役割】Fintechデザイナー【目的】安心感と離脱防止【仕様】・テーマ: セキュア/緑アクセント・要素: ステップバー/支払ボタン・特性: シンプルな動線【出力】・解像度: 4K,開発サイクル短縮。,,,,,,,
18,デザイン/ブランディング,P: パッケージデザイナーT: 食品メーカー,パッケージデザイン,# 指示書: シェルフで際立つパッケージデザイン【役割】ペントアワード受賞パッケージデザイナー【目的】[商品パッケージ]の魅力を立体的に表現【デザイン仕様】・素材/形状: [素材]を使用し、リアルな質感表現・グラフィック: [テキスト/グラフィック]を[ラベル]として配置・スタイル: 3Dレンダリング風の立体感【出力設定】・解像度: [指定]・照明: スタジオライティング,# 指示書: フレッシュジュース【役割】飲料パッケージ担当【目的】新鮮さをアピール【仕様】・素材: 再生紙カートン・ラベル: エコラベル「Fresh Juice」・図案: 瑞々しい果実【出力】・解像度: 4K,# 指示書: 朝食シリアル【役割】食品パッケージ担当【目的】健康的な朝を想起【仕様】・素材: プラスチック袋・ラベル: 栄養成分表示「Healthy Start」・図案: 穀物とミルク【出力】・解像度: 300dpi,# 指示書: プレミアムココア【役割】高級菓子担当【目的】濃厚な味わいを表現【仕様】・素材: 金属缶（マット加工）・ラベル: 金箔押し「Rich Cocoa」・図案: カカオ豆【出力】・解像度: 4K,# 指示書: キッズスナック【役割】菓子パッケージ担当【目的】楽しさをアピール【仕様】・素材: アルミ蒸着袋・ラベル: ポップな「Crunchy Fun」・図案: キャラクター野菜【出力】・解像度: 300dpi,# 指示書: 禅ティー【役割】茶葉ブランド担当【目的】静寂と和を表現【仕様】・素材: 和紙貼箱・ラベル: 筆文字「Zen Tea」・図案: 茶葉と露【出力】・解像度: 4K,棚映え向上。,,,,,,,
19,デザイン/ブランディング,P: イベントプランナーT: イベント会社,イベント招待状デザイン,# 指示書: 参加意欲をそそる招待状デザイン【役割】ハイエンド・ステーショナリーデザイナー【目的】[イベント]への期待感を高める招待状作成【デザイン仕様】・テーマ: [テーマ]、レイアウトは[レイアウト]・情報: 「[日時/場所]」を[フォント]で美しく配置・機能: QRコードをデザインの一部として統合【出力設定】・解像度: [指定]・質感: 特殊紙のテクスチャ感,# 指示書: Techカンファレンス【役割】イベントデザイナー【目的】最先端技術への招待【仕様】・テーマ: 未来的・レイアウト: グリッド・文字: 「2026/1/15 東京」(源ノ角)【出力】・解像度: 4K,# 指示書: ワイン試飲会【役割】ラグジュアリー担当【目的】優雅な夜への招待【仕様】・テーマ: エレガント・レイアウト: クラシック・文字: 「2026/2/20 パリ」(メイリオ)【出力】・解像度: 300dpi,# 指示書: 現代アート展【役割】ギャラリーデザイナー【目的】創造性への招待【仕様】・テーマ: クリエイティブ・レイアウト: アシンメトリー・文字: 「2026/3/10 NY」(ヒラギノ)【出力】・解像度: 4K,# 指示書: ビジネスセミナー【役割】企業イベント担当【目的】学びの場への招待【仕様】・テーマ: プロフェッショナル・レイアウト: シンメトリー・文字: 「2026/4/5 倫敦」(游ゴシック)【出力】・解像度: 300dpi,# 指示書: チャリティガラ【役割】NPOイベント担当【目的】支援の夜への招待【仕様】・テーマ: 慈愛（チャリティ）・レイアウト: フローラル・文字: 「2026/5/12 ベルリン」(筑紫)【出力】・解像度: 4K,参加率向上。,,,,,,,
20,デザイン/ブランディング,P: コーポレートデザイナーT: 企業広報部,社内ブランディングポスター,# 指示書: 社員の心を動かす啓発ポスター【役割】インナーブランディング専門家【目的】[メッセージ]を視覚化しモチベーション向上【ポスター仕様】・トーン: [トーン]、サイズは[サイズ]・要素: 社ロゴとスローガン「[ロゴ/スローガン]」を統合・心理効果: 高揚感と帰属意識を刺激【出力設定】・解像度: [指定]・品質: オフィス掲示用高画質,# 指示書: イノベーション推進【役割】変革リーダー【目的】変化への挑戦を鼓舞【仕様】・トーン: インスパイア・サイズ: A2・文字: 「Change Now」・効果: 未来への希望【出力】・解像度: 4K,# 指示書: チームワーク強化【役割】組織開発担当【目的】団結力を高める【仕様】・トーン: コラボレーション・サイズ: A1・文字: 「Together Strong」・効果: 仲間意識【出力】・解像度: 300dpi,# 指示書: サステナビリティ【役割】環境推進室【目的】エコ意識の定着【仕様】・トーン: エコロジー・サイズ: A3・文字: 「Green Future」・効果: 環境責任【出力】・解像度: 4K,# 指示書: 成長マインドセット【役割】人事部長【目的】日々の成長を推奨【仕様】・トーン: モチベーショナル・サイズ: A0・文字: 「Grow Daily」・効果: 自己研鑽【出力】・解像度: 300dpi,# 指示書: ダイバーシティ【役割】D&I担当【目的】多様性の受容【仕様】・トーン: インクルーシブ・サイズ: 特大ポスター・文字: 「Diverse Voices」・効果: 受容と尊重【出力】・解像度: 4K,社内エンゲージメント向上。,,,,,,,
